Name,Sector,Longitude,Latitude,State
A T Still University of Health Sciences,"Private not-for-profit, 4-year or above",-92.58918299999999,40.193647999999996,MO
Aaniiih Nakoda College,"Public, 2-year",-108.75781599999999,48.484196000000004,MT
Abilene Christian University,"Private not-for-profit, 4-year or above",-99.709797,32.468942999999996,TX
Abraham Baldwin Agricultural College,"Public, 4-year or above",-83.528281,31.481889000000002,GA
Academy for Five Element Acupuncture,"Private not-for-profit, 4-year or above",-82.32199399999999,29.650075,FL
Academy for Jewish Religion-California,"Private not-for-profit, 4-year or above",-118.43849499999999,34.070281,CA
Academy for Nursing and Health Occupations,"Private not-for-profit, 2-year",-80.12149699999999,26.706529999999997,FL
Academy of Chinese Culture and Health Sciences,"Private not-for-profit, 4-year or above",-122.26983899999999,37.805972,CA
Academy of Interactive Entertainment,"Private not-for-profit, 2-year",-122.35115800000001,47.621224,WA
Academy of Interactive Entertainment,"Private not-for-profit, 2-year",-92.043315,30.220036999999998,LA
Academy of Vocal Arts,"Private not-for-profit, 4-year or above",-75.173735,39.947959999999995,PA
Acupuncture and Integrative Medicine College-Berkeley,"Private not-for-profit, 4-year or above",-122.26763600000001,37.862753999999995,CA
Adams State University,"Public, 4-year or above",-105.87964199999999,37.473636,CO
Adelphi University,"Private not-for-profit, 4-year or above",-73.65332099999999,40.721439000000004,NY
Adirondack Community College,"Public, 2-year",-73.654813,43.351839,NY
Adler Graduate School,"Private not-for-profit, 4-year or above",-93.252364,44.862944,MN
Adler University,"Private not-for-profit, 4-year or above",-87.62915600000001,41.882414000000004,IL
Adrian College,"Private not-for-profit, 4-year or above",-84.061481,41.898590999999996,MI
Adventist University of Health Sciences,"Private not-for-profit, 4-year or above",-81.367687,28.576141999999997,FL
Agnes Scott College,"Private not-for-profit, 4-year or above",-84.295459,33.769268,GA
Aiken Technical College,"Public, 2-year",-81.841666,33.533833,SC
Aims Community College,"Public, 2-year",-104.76341500000001,40.409559,CO
Alabama A & M University,"Public, 4-year or above",-86.568502,34.783367999999996,AL
Alabama College of Osteopathic Medicine,"Private not-for-profit, 4-year or above",-85.340805,31.206294,AL
Alabama Southern Community College,"Public, 2-year",-87.326352,31.488925,AL
